[1, [-0.02, 0.0, 0.92, -2, 1, 1, 23.28], 0.06760312],
[2, [-0.01, -0.01, 0.91, -1, 1, 1, 23.33], 0.06760312],
[3, [-0.01, 0.0, 0.9, -1, 1, 1, 23.24], 0.06760312],
[4, [-0.01, -0.0, 0.9, -1, 1, 1, 23.33], 0.06760312],
[5, [-0.01, 0.01, 0.9, -1, 1, 1, 23.28], 0.06760312],
[6, [-0.01, 0.0, 0.9, -1, 1, 1, 23.33], 0.06760312],
[7, [-0.01, 0.01, 0.91, -1, 1, 1, 23.28], 0.06760312],
[8, [-0.01, 0.0, 0.9, -1, 1, 1, 23.38], 0.06760312],
[9, [-0.01, 0.0, 0.91, -1, 1, 1, 23.38], 0.06760312],
[10, [-0.0, 0.0, 0.9, -1, 1, 1, 23.42], 0.06760312],
[11, [-0.01, 0.0, 0.9, -1, 1, 1, 23.24], 0.06760312],
[12, [-0.01, 0.0, 0.91, -1, 1, 1, 23.38], 0.06760312],
[13, [-0.01, 0.0, 0.9, -1, 1, 1, 23.38], 0.06760312],
[14, [-0.01, 0.01, 0.91, -1, 1, 1, 23.38], 0.06760312],
[15, [-0.02, 0.01, 0.91, -1, 1, 1, 23.28], 0.06760312],
[16, [-0.01, 0.0, 0.9, -1, 1, 1, 23.33], 0.06760312],
[17, [-0.01, 0.0, 0.9, -1, 1, 1, 23.33], 0.06760312],
[18, [-0.01, 0.01, 0.91, -1, 1, 1, 23.38], 0.06760312],
[19, [-0.01, -0.0, 0.91, -1, 2, 1, 23.38], 0.06760312],
[20, [-0.01, 0.0, 0.91, -2, 1, 1, 23.24], 0.06760312],
[21, [-0.01, 0.01, 0.9, -1, 1, 1, 23.38], 0.06760312],
[22, [-0.02, 0.01, 0.91, -1, 1, 1, 23.33], 0.06760312],
[23, [-0.01, 0.0, 0.9, -1, 1, 1, 23.28], 0.06760312],
[24, [-0.01, 0.0, 0.9, -1, 2, 1, 23.38], 0.06760312],
[25, [-0.01, 0.0, 0.9, -1, 1, 1, 23.38], 0.06760312],
[26, [-0.01, 0.01, 0.9, -2, 1, 1, 23.47], 0.06760312],
[27, [-0.01, 0.0, 0.9, -1, 1, 1, 23.33], 0.06760312],
[28, [-0.01, 0.01, 0.9, -1, 1, 1, 23.33], 0.06760312],
[29, [-0.01, -0.0, 0.9, -1, 1, 1, 23.24], 0.06760312],
[30, [-0.01, 0.01, 0.9, -1, 2, 1, 23.33], 0.06760312],
[31, [-0.01, 0.0, 0.9, -1, 1, 1, 23.28], 0.06760312],
[32, [-0.01, 0.01, 0.9, -2, 1, 1, 23.28], 0.06760312],
[33, [-0.01, 0.0, 0.9, -2, 1, 1, 23.33], 0.06760312],
[34, [-0.01, 0.0, 0.89, -2, 1, 1, 23.33], 0.06760312],
[35, [-0.02, 0.0, 0.9, -1, 1, 1, 23.38], 0.06760312],
[36, [-0.01, -0.0, 0.9, -1, 1, 1, 23.33], 0.06760312],
[37, [-0.01, 0.01, 0.9, -1, 1, 1, 23.28], 0.06760312],
[38, [-0.01, 0.01, 0.9, -1, 1, 1, 23.28], 0.06760312],
[39, [-0.02, 0.0, 0.91, -1, 1, 1, 23.33], 0.06760312],
[40, [-0.01, 0.0, 0.91, -1, 1, 1, 23.38], 0.06760312],
[41, [-0.02, 0.0, 0.91, -1, 1, 1, 23.33], 0.06760312],
[42, [-0.01, 0.0, 0.9, -1, 1, 1, 23.33], 0.06760312],
[43, [-0.02, 0.0, 0.91, -1, 1, 1, 23.24], 0.06760312],
[44, [-0.01, 0.0, 0.91, -1, 1, 1, 23.28], 0.06760312],
[45, [-0.02, 0.0, 0.9, -1, 1, 1, 23.24], 0.06760312],
[46, [-0.01, 0.0, 0.9, -1, 1, 1, 23.33], 0.06760312],
[47, [-0.01, 0.0, 0.9, -1, 1, 1, 23.38], 0.06760312],
[48, [-0.01, 0.01, 0.91, -1, 1, 1, 23.38], 0.06760312],
[49, [-0.01, -0.0, 0.9, -1, 1, 1, 23.33], 0.06760312],
[50, [-0.0, 0.01, 0.91, -1, 1, 1, 23.33], 0.06760312],
[51, [-0.01, 0.01, 0.91, -1, 1, 1, 23.28], 0.06760312],
