[1, [-0.03, -0.0, 0.9, -1, 1, 1, 23.71], 0.06645065],
[2, [-0.03, -0.01, 0.9, -1, 1, 1, 22.91], 0.06645065],
[3, [-0.03, -0.0, 0.9, -1, 1, 1, 23.71], 0.06645065],
[4, [-0.03, -0.0, 0.91, -2, 1, 1, 22.86], 0.06645065],
[5, [-0.03, -0.0, 0.9, -1, 1, 1, 22.86], 0.06645065],
[6, [-0.03, -0.0, 0.9, -1, 1, 1, 23.71], 0.06645065],
[7, [-0.04, -0.01, 0.91, -1, 1, 1, 23.71], 0.06645065],
[8, [-0.03, -0.01, 0.9, -1, 1, 1, 23.0], 0.06645065],
[9, [-0.03, -0.01, 0.9, -1, 1, 1, 23.71], 0.06645065],
[10, [-0.03, -0.01, 0.9, -1, 1, 1, 22.91], 0.06645065],
[11, [-0.03, -0.0, 0.9, -1, 1, 1, 22.86], 0.06645065],
[12, [-0.04, -0.0, 0.91, -1, 1, 1, 22.86], 0.06645065],
[13, [-0.03, -0.01, 0.9, -1, 1, 1, 22.91], 0.06645065],
[14, [-0.03, -0.0, 0.91, -1, 1, 1, 22.91], 0.06645065],
[15, [-0.03, 0.0, 0.91, -1, 1, 1, 23.0], 0.06645065],
[16, [-0.03, -0.0, 0.9, -1, 1, 1, 22.81], 0.06645065],
[17, [-0.02, -0.01, 0.91, -1, 1, 1, 22.91], 0.06645065],
[18, [-0.04, -0.0, 0.91, -1, 1, 1, 22.86], 0.06645065],
[19, [-0.03, -0.01, 0.91, -1, 1, 1, 23.71], 0.06645065],
[20, [-0.03, -0.0, 0.91, -1, 1, 1, 22.91], 0.06645065],
[21, [-0.04, 0.0, 0.9, -1, 1, 1, 22.91], 0.06645065],
[22, [-0.03, -0.0, 0.9, -1, 1, 1, 22.91], 0.06645065],
[23, [-0.03, -0.01, 0.91, -1, 1, 1, 23.71], 0.06645065],
[24, [-0.03, -0.0, 0.91, -1, 1, 1, 23.71], 0.06645065],
[25, [-0.04, -0.0, 0.91, -1, 1, 1, 22.86], 0.06645065],
[26, [-0.03, -0.01, 0.91, -1, 1, 1, 23.71], 0.06645065],
[27, [-0.04, -0.0, 0.9, -1, 1, 1, 22.91], 0.06645065],
[28, [-0.04, -0.01, 0.91, -1, 1, 1, 22.81], 0.06645065],
[29, [-0.03, -0.01, 0.91, -1, 1, 1, 23.71], 0.06645065],
[30, [-0.04, -0.01, 0.91, -1, 1, 1, 22.86], 0.06645065],
[31, [-0.03, -0.0, 0.9, -1, 1, 1, 22.91], 0.06645065],
[32, [-0.03, -0.0, 0.9, -1, 1, 1, 23.71], 0.06645065],
[33, [-0.03, -0.01, 0.9, -1, 1, 1, 22.91], 0.06645065],
[34, [-0.03, -0.01, 0.91, -1, 1, 1, 23.71], 0.06645065],
[35, [-0.03, -0.0, 0.9, -1, 1, 1, 22.86], 0.06645065],
[36, [-0.03, -0.01, 0.9, -1, 1, 1, 22.91], 0.06645065],
[37, [-0.04, -0.0, 0.91, -1, 1, 1, 23.71], 0.06645065],
[38, [-0.04, -0.01, 0.91, -1, 2, 1, 23.71], 0.06645065],
[39, [-0.03, -0.01, 0.9, -1, 2, 1, 22.86], 0.06645065],
[40, [-0.03, 0.0, 0.9, -1, 1, 1, 23.71], 0.06645065],
[41, [-0.04, -0.0, 0.92, -1, 1, 1, 22.91], 0.06645065],
[42, [-0.04, -0.01, 0.91, -1, 1, 1, 23.71], 0.06645065],
[43, [-0.03, -0.01, 0.9, -1, 1, 1, 22.91], 0.06645065],
[44, [-0.04, -0.01, 0.9, -1, 1, 1, 23.0], 0.06645065],
[45, [-0.04, 0.0, 0.9, -1, 1, 1, 22.86], 0.06645065],
[46, [-0.04, -0.0, 0.9, -1, 1, 1, 22.91], 0.06645065],
[47, [-0.03, -0.0, 0.89, -2, 1, 1, 22.91], 0.06645065],
[48, [-0.03, -0.0, 0.9, -1, 1, 1, 23.0], 0.06645065],
[49, [-0.03, -0.01, 0.9, -1, 2, 1, 22.86], 0.06645065],
[50, [-0.04, -0.01, 0.9, -1, 1, 1, 23.71], 0.06645065],
[51, [-0.04, -0.0, 0.91, -1, 1, 1, 23.71], 0.06645065],
[52, [-0.03, 0.0, 0.89, -1, 1, 1, 22.91], 0.06645065],
[53, [-0.03, -0.01, 0.9, -2, 1, 1, 22.91], 0.06645065],
[54, [-0.03, -0.0, 0.9, -1, 1, 1, 22.86], 0.06645065],
[55, [-0.03, -0.01, 0.9, -1, 1, 1, 22.81], 0.06645065],
[56, [-0.03, -0.0, 0.9, -1, 1, 1, 22.91], 0.06645065],
[57, [-0.04, -0.01, 0.91, -2, 1, 1, 22.91], 0.06645065],
[58, [-0.04, -0.0, 0.91, -1, 1, 1, 23.0], 0.06645065],
[59, [-0.04, -0.0, 0.91, -1, 1, 1, 22.91], 0.06645065],
[60, [-0.03, 0.0, 0.9, -1, 1, 1, 23.71], 0.06645065],
[61, [-0.03, -0.0, 0.9, -1, 1, 1, 22.81], 0.06645065],
[62, [-0.03, -0.0, 0.91, -1, 1, 1, 22.91], 0.06645065],
[63, [-0.03, -0.01, 0.9, -1, 1, 1, 23.71], 0.06645065],
[64, [-0.03, -0.0, 0.91, -1, 1, 1, 22.91], 0.06645065],
[65, [-0.03, -0.0, 0.9, -1, 1, 1, 22.86], 0.06645065],
[66, [-0.04, -0.0, 0.92, -1, 1, 1, 23.71], 0.06645065],
[67, [-0.03, -0.01, 0.9, -1, 1, 1, 22.86], 0.06645065],
[68, [-0.03, -0.0, 0.91, -1, 1, 1, 23.71], 0.06645065],
[69, [-0.04, -0.01, 0.91, -1, 1, 1, 22.91], 0.06645065],
[70, [-0.03, -0.0, 0.9, -1, 2, 1, 22.91], 0.06645065],
[71, [-0.04, -0.0, 0.91, -1, 1, 1, 23.71], 0.06645065],
[72, [-0.03, -0.01, 0.9, -1, 1, 1, 23.0], 0.06645065],
[73, [-0.04, -0.01, 0.91, -1, 1, 1, 23.71], 0.06645065],
[74, [-0.03, -0.01, 0.9, -1, 1, 1, 23.0], 0.06645065],
[75, [-0.04, -0.01, 0.91, -1, 1, 1, 23.71], 0.06645065],
[76, [-0.03, -0.01, 0.91, -1, 1, 1, 23.71], 0.06645065],
[77, [-0.03, 0.0, 0.9, -1, 1, 1, 23.71], 0.06645065],
[78, [-0.04, -0.0, 0.91, -1, 1, 1, 22.91], 0.06645065],
[79, [-0.03, -0.0, 0.9, -2, 1, 1, 22.91], 0.06645065],
[80, [-0.03, -0.0, 0.91, -1, 1, 1, 22.86], 0.06645065],
[81, [-0.03, -0.01, 0.9, -1, 1, 1, 23.71], 0.06645065],
[82, [-0.03, -0.01, 0.9, -1, 1, 1, 23.05], 0.06645065],
[83, [-0.02, -0.01, 0.91, -1, 1, 1, 23.0], 0.06645065],
[84, [-0.04, -0.01, 0.9, -2, 1, 1, 23.71], 0.06645065],
[85, [-0.02, -0.01, 0.91, -2, 1, 1, 22.91], 0.06645065],
[86, [-0.03, -0.0, 0.91, -1, 1, 1, 22.86], 0.06645065],
[87, [-0.03, 0.0, 0.91, -1, 1, 1, 22.91], 0.06645065],
[88, [-0.03, -0.0, 0.9, -1, 1, 1, 22.86], 0.06645065],
[89, [-0.03, -0.0, 0.9, -1, 1, 1, 23.71], 0.06645065],
[90, [-0.03, -0.0, 0.9, -1, 1, 1, 23.0], 0.06645065],
[91, [-0.03, -0.01, 0.91, -1, 1, 1, 23.0], 0.06645065],
[92, [-0.03, -0.0, 0.91, -1, 1, 1, 23.0], 0.06645065],
[93, [-0.02, -0.01, 0.91, -1, 1, 1, 22.91], 0.06645065],
[94, [-0.04, -0.0, 0.91, -1, 1, 1, 23.0], 0.06645065],
[95, [-0.03, -0.0, 0.91, -2, 1, 1, 22.91], 0.06645065],
