[1, [-0.04, -0.01, 0.9, -1, 1, 1, 23.24], 0.0664166],
[2, [-0.04, -0.01, 0.9, -1, 1, 1, 23.28], 0.0664166],
[3, [-0.03, -0.01, 0.91, -1, 1, 1, 23.24], 0.0664166],
[4, [-0.04, -0.0, 0.9, -1, 1, 1, 23.28], 0.0664166],
[5, [-0.04, -0.01, 0.91, -1, 1, 1, 23.33], 0.0664166],
[6, [-0.03, -0.01, 0.9, -1, 1, 1, 23.28], 0.0664166],
[7, [-0.03, -0.01, 0.91, -1, 1, 1, 23.33], 0.0664166],
[8, [-0.03, -0.01, 0.91, -2, 1, 1, 23.33], 0.0664166],
[9, [-0.04, -0.01, 0.9, -2, 1, 1, 23.28], 0.0664166],
[10, [-0.04, -0.0, 0.9, -1, 1, 1, 23.28], 0.0664166],
[11, [-0.03, -0.01, 0.91, -2, 1, 1, 23.28], 0.0664166],
[12, [-0.03, -0.0, 0.89, -1, 1, 1, 23.28], 0.0664166],
[13, [-0.03, 0.0, 0.9, -1, 1, 1, 23.24], 0.0664166],
[14, [-0.04, -0.01, 0.9, -1, 1, 1, 23.28], 0.0664166],
[15, [-0.03, -0.01, 0.9, -2, 1, 1, 23.33], 0.0664166],
[16, [-0.04, -0.01, 0.91, -1, 1, 1, 23.19], 0.0664166],
[17, [-0.04, -0.01, 0.9, -1, 1, 1, 23.24], 0.0664166],
[18, [-0.03, -0.01, 0.9, -1, 2, 1, 23.24], 0.0664166],
[19, [-0.04, -0.01, 0.91, -1, 1, 1, 23.33], 0.0664166],
[20, [-0.03, -0.01, 0.91, -1, 1, 1, 23.28], 0.0664166],
[21, [-0.04, -0.01, 0.89, -1, 1, 1, 23.19], 0.0664166],
[22, [-0.03, -0.01, 0.91, -1, 1, 1, 23.33], 0.0664166],
[23, [-0.03, -0.01, 0.9, -1, 1, 1, 23.28], 0.0664166],
[24, [-0.03, -0.01, 0.91, -1, 1, 1, 23.33], 0.0664166],
[25, [-0.04, -0.0, 0.89, -1, 1, 1, 23.28], 0.0664166],
[26, [-0.03, -0.01, 0.91, -2, 1, 1, 23.28], 0.0664166],
[27, [-0.03, -0.01, 0.9, -1, 1, 1, 23.33], 0.0664166],
[28, [-0.04, -0.0, 0.91, -1, 1, 1, 23.24], 0.0664166],
[29, [-0.04, -0.01, 0.91, -2, 1, 1, 23.28], 0.0664166],
[30, [-0.04, -0.01, 0.91, -1, 1, 1, 23.28], 0.0664166],
[31, [-0.04, -0.01, 0.9, -2, 1, 1, 23.33], 0.0664166],
[32, [-0.04, -0.0, 0.9, -1, 1, 1, 23.24], 0.0664166],
[33, [-0.04, -0.01, 0.9, -1, 1, 1, 23.24], 0.0664166],
[34, [-0.04, -0.01, 0.91, -1, 1, 1, 23.14], 0.0664166],
[35, [-0.03, -0.0, 0.9, -1, 1, 1, 23.28], 0.0664166],
[36, [-0.03, -0.01, 0.91, -1, 1, 1, 23.33], 0.0664166],
[37, [-0.04, -0.0, 0.9, -1, 1, 1, 23.19], 0.0664166],
[38, [-0.03, -0.0, 0.9, -1, 1, 1, 23.24], 0.0664166],
[39, [-0.04, -0.01, 0.91, -2, 1, 1, 23.24], 0.0664166],
[40, [-0.04, -0.01, 0.9, -1, 1, 1, 23.28], 0.0664166],
[41, [-0.04, -0.0, 0.9, -1, 1, 1, 23.28], 0.0664166],
[42, [-0.04, -0.01, 0.91, -1, 1, 1, 23.28], 0.0664166],
[43, [-0.03, -0.0, 0.9, -1, 1, 1, 23.19], 0.0664166],
[44, [-0.04, -0.01, 0.9, -1, 1, 1, 23.28], 0.0664166],
[45, [-0.04, -0.01, 0.9, -1, 1, 1, 23.24], 0.0664166],
[46, [-0.04, -0.01, 0.9, -1, 1, 1, 23.28], 0.0664166],
[47, [-0.04, -0.01, 0.91, -1, 1, 1, 23.33], 0.0664166],
[48, [-0.02, -0.02, 0.88, -1, 1, 1, 23.24], 0.0664166],
[49, [-0.03, -0.01, 0.91, -1, 1, 1, 23.28], 0.0664166],
[50, [-0.04, -0.01, 0.91, -1, 1, 1, 23.24], 0.0664166],
[51, [-0.03, -0.0, 0.9, -2, 1, 1, 23.24], 0.0664166],
[52, [-0.04, -0.0, 0.9, -1, 1, 1, 23.28], 0.0664166],
[53, [-0.04, -0.01, 0.9, -1, 1, 1, 23.28], 0.0664166],
[54, [-0.04, -0.01, 0.9, -1, 2, 1, 23.33], 0.0664166],
[55, [-0.04, -0.01, 0.91, -1, 1, 1, 23.19], 0.0664166],
[56, [-0.04, -0.01, 0.9, -2, 1, 1, 23.33], 0.0664166],
[57, [-0.03, -0.0, 0.91, -1, 1, 1, 23.28], 0.0664166],
[58, [-0.04, -0.01, 0.9, -1, 1, 1, 23.28], 0.0664166],
[59, [-0.03, -0.0, 0.9, -1, 1, 1, 23.42], 0.0664166],
[60, [-0.03, -0.01, 0.9, -2, 1, 1, 23.28], 0.0664166],
[61, [-0.04, -0.0, 0.9, -1, 1, 1, 23.33], 0.0664166],
[62, [-0.03, -0.01, 0.9, -2, 1, 1, 23.33], 0.0664166],
[63, [-0.04, -0.01, 0.9, -1, 1, 1, 23.28], 0.0664166],
[64, [-0.03, -0.01, 0.91, -1, 1, 1, 23.33], 0.0664166],
[65, [-0.04, -0.01, 0.91, -2, 1, 1, 23.28], 0.0664166],
[66, [-0.03, -0.01, 0.91, -2, 1, 1, 23.28], 0.0664166],
[67, [-0.04, -0.01, 0.9, -1, 1, 1, 23.24], 0.0664166],
[68, [-0.03, -0.0, 0.91, -2, 1, 1, 23.33], 0.0664166],
[69, [-0.03, -0.01, 0.9, -1, 1, 1, 23.28], 0.0664166],
[70, [-0.05, -0.01, 0.9, -1, 1, 1, 23.28], 0.0664166],
[71, [-0.04, -0.01, 0.91, -1, 1, 1, 23.33], 0.0664166],
[72, [-0.03, -0.01, 0.9, -1, 1, 1, 23.33], 0.0664166],
[73, [-0.04, -0.01, 0.9, -1, 1, 1, 23.28], 0.0664166],
[74, [-0.03, -0.01, 0.9, -1, 1, 1, 23.28], 0.0664166],
[75, [-0.03, -0.01, 0.91, -2, 1, 1, 23.28], 0.0664166],
[76, [-0.03, -0.0, 0.9, -1, 1, 1, 23.33], 0.0664166],
[77, [-0.03, -0.01, 0.91, -1, 1, 1, 23.28], 0.0664166],
[78, [-0.03, -0.01, 0.9, -2, 1, 1, 23.28], 0.0664166],
[79, [-0.04, -0.01, 0.91, -1, 1, 1, 23.24], 0.0664166],
[80, [-0.03, -0.0, 0.91, -1, 1, 1, 23.28], 0.0664166],
[81, [-0.04, -0.01, 0.91, -1, 2, 1, 23.19], 0.0664166],
[82, [-0.03, -0.01, 0.91, -1, 2, 1, 23.28], 0.0664166],
[83, [-0.03, -0.01, 0.9, -1, 1, 1, 23.09], 0.0664166],
[84, [-0.03, -0.01, 0.91, -1, 1, 1, 23.38], 0.0664166],
[85, [-0.04, -0.01, 0.9, -2, 1, 1, 23.28], 0.0664166],
[86, [-0.04, -0.01, 0.9, -1, 1, 1, 23.33], 0.0664166],
[87, [-0.03, -0.0, 0.91, -2, 1, 1, 23.33], 0.0664166],
[88, [-0.04, -0.01, 0.9, -1, 1, 1, 23.28], 0.0664166],
[89, [-0.03, -0.01, 0.9, -1, 1, 1, 23.19], 0.0664166],
[90, [-0.04, -0.01, 0.9, -2, 1, 1, 23.24], 0.0664166],
[91, [-0.04, -0.01, 0.9, -2, 1, 1, 23.24], 0.0664166],
[92, [-0.04, -0.0, 0.9, -1, 1, 1, 23.33], 0.0664166],
[93, [-0.03, -0.01, 0.9, -1, 1, 1, 23.28], 0.0664166],
[94, [-0.04, -0.01, 0.91, -1, 1, 1, 23.28], 0.0664166],
[95, [-0.04, -0.0, 0.91, -1, 2, 1, 23.19], 0.0664166],
